"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;Размер;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;МРРЦ;Фото;Описание
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-ГОЛ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017470;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-15-ГОЛ Голубой пододеяльник Сатин однотонный 145х215";8;927;1395;http://alvitek.com.ru/upload/iblock/639/639ee1068d30939c414efcb7d88a3f36.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-ЖСЕР;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017487;;Жемчужносерый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-15-ЖСЕР Жемчужносерый пододеяльник Сатин однотонный 145х215";7;927;1395;http://alvitek.com.ru/upload/iblock/7fc/7fc9afc4a666086a9cbf6e0022188626.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-РОЗ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017722;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-15-РОЗ Розовый пододеяльник Сатин однотонный 145х215";5;927;1395;http://alvitek.com.ru/upload/iblock/542/54236b9c11578439e6e771ac23060b30.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-САЛ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017517;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-15-САЛ Салатовый пододеяльник Сатин однотонный 145х215";6;927;1395;http://alvitek.com.ru/upload/iblock/451/451e22877862fe744b1beadb2528a591.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-ШОК;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017531;;Шоколадный;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-15-ШОК Шоколадный пододеяльник Сатин однотонный 145х215";7;1058;1590;http://alvitek.com.ru/upload/iblock/c21/c218dfef8d7cc64fc13fcf7616efb1f4.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-БЕЛ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017555;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-БЕЛ Белый пододеяльник Сатин однотонный 175х215";7;1107;1665;http://alvitek.com.ru/upload/iblock/61b/61b849da3c6a8a3e0e179ed7e12e7241.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-БЕЖ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017548;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-БЕЖ Бежевый пододеяльник Сатин однотонный 175х215";7;1107;1665;http://alvitek.com.ru/upload/iblock/4b3/4b3a4a9fdfceffa1f22e92806bb10567.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-ГОЛ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017562;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-ГОЛ Голубой пододеяльник Сатин однотонный 175х215";4;1107;1665;http://alvitek.com.ru/upload/iblock/37e/37e3ef7af921911de0ca02265e57cee3.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-ЖСЕР;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017579;;Жемчужносерый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-ЖСЕР Жемчужносерый пододеяльник Сатин однотонный 175х215";8;1107;1665;http://alvitek.com.ru/upload/iblock/1c5/1c58594839e9eb6ff3d23ddaed12ce29.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-КОБ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017586;;Кобальт;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-КОБ Кобальт пододеяльник Сатин однотонный 175х215";1;1107;1665;http://alvitek.com.ru/upload/iblock/62b/62b19b828288801483b17acd40adb483.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-РОЗ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017593;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-РОЗ Розовый пододеяльник Сатин однотонный 175х215";4;1107;1665;http://alvitek.com.ru/upload/iblock/60b/60b49dad228685c535a0da9e510dd764.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-САЛ;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017609;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-САЛ Салатовый пододеяльник Сатин однотонный 175х215";5;1107;1665;http://alvitek.com.ru/upload/iblock/f5c/f5ccd5ec923efbf588d4e7b0455acddd.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-20-ШОК;;;;;175х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017623;;Шоколадный;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-20-ШОК Шоколадный пододеяльник Сатин однотонный 175х215";5;1256;1885;http://alvitek.com.ru/upload/iblock/2fc/2fc8664c497c2b460e5cbce410630460.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-БЕЛ;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017647;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-22-БЕЛ Белый пододеяльник Сатин однотонный 200х220";7;1385;2080;http://alvitek.com.ru/upload/iblock/9d9/9d921fd90d269d771693090e52cb5745.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-БЕЖ;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017630;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-22-БЕЖ Бежевый пододеяльник Сатин однотонный 200х220";9;1385;2080;http://alvitek.com.ru/upload/iblock/529/52919546eb94fadd9bdc6c1743f83942.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-ГОЛ;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017654;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-22-ГОЛ Голубой пододеяльник Сатин однотонный 200х220";5;1385;2080;http://alvitek.com.ru/upload/iblock/167/1678694a9b2fbd67bc7ea1a6698df672.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-22-ЖСЕР;;;;;200х220;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017661;;Жемчужносерый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-22-ЖСЕР Жемчужносерый пододеяльник Сатин однотонный 200х220";7;1385;2080;http://alvitek.com.ru/upload/iblock/336/33621b1ac2f8a2740e0c0db1f00e4f29.jpeg;
Одеяло;Модерато;"AlViTek (АльВиТек)";Россия;Люкс;МС-О-20;172х205;Легкое;;;;;;;"Овечья шерсть Меринос,пэ";;;"200 гр/кв.м";;;"Сатин жаккард";"100% хлопок";;;;;"Многоигольная машина";"Косая бейка";"Сумка оригинальная";;;;;4607048003527;;Кремовый;;;"Тональность изделия может отличаться от фото";;;;;;"МС-О-20  Одеяло ""Модерато"" 172х205 легкое";30;1717;2580;http://alvitek.com.ru/upload/iblock/fd7/fd7dcda1dcf0f6b47b46b2f3837d386f.jpeg;"одеяло с наполнителем из овечьей шерсти меринос 200 г/кв.м, чехол (хлопок 100%)- ткань сатин-жаккард бежевый , окантовка - косая бейка, уголок, бирка, флажок, постер, в чемодане"
Наматрасник;Холкон;"AlViTek (АльВиТек)";Россия;;МХУ-9-070;70х200;;Упругая;;;;;"9 см";Холкон;;;"1800 гр/кв.м";;;Полисатин;"100%  пэ";Молния;;;;;Кант;Пакет;;;;;4607047010700;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"МХУ-9-070 Матрас ""Холкон"" 70х200х9";8;1098;1650;http://alvitek.com.ru/upload/iblock/c00/c006be6ef291f3c2eaba0ec3824b6e52.jpeg;"матрас Холлкон, чехол на молнии, стежка - ""Ультрастеп"" (ткань - ПЭ,синтепон 100 г/кв.м) , наполнитель - Холкон 1400, высота - 9см, бирка, упаковка - пленка ПЭ"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-15-547;Полутороспальное;;;"70х70 (2шт.)";143х215;150х215;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925534046;;;;;"Тональность изделия может отличаться от фото";;;;;;"547 КПБ 1.5 сп (5) ""Экзотика"" Поплин";3;867;1215;http://alvitek.com.ru/upload/iblock/ce6/ce662f4f7d005ea05b931bbf56221b82.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-15-Персия;Полутороспальное;;;"70х70 (2шт.)";143х215;150х215;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925534084;;;;;"Тональность изделия может отличаться от фото";;;;;;"Персия КПБ 1.5 сп (5) ""Экзотика"" Поплин";5;867;1215;http://alvitek.com.ru/upload/iblock/bb8/bb8884af87972552b64ea43289d2c074.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-15-Элиза;Полутороспальное;;;"70х70 (2шт.)";143х215;150х215;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925534121;;;;;"Тональность изделия может отличаться от фото";;;;;;"Элиза КПБ 1.5 сп (5) ""Экзотика"" Поплин";1;867;1215;http://alvitek.com.ru/upload/iblock/533/533a6dcd8e521b998dc3cfbe06e6d36d.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-Изабель;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925534268;;;;;"Тональность изделия может отличаться от фото";;;;;;"Изабель КПБ евро (5) ""Экзотика"" Бязь";1;1193;1675;http://alvitek.com.ru/upload/iblock/159/159ccd5e0f995e16c5d8b2c7cbfb0b55.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-22-Адель;Евро;;;"70х70 (2шт.)";205х220;220х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925534244;;;;;"Тональность изделия может отличаться от фото";;;;;;"Адель КПБ евро (5) ""Экзотика"" Бязь";1;1193;1675;http://alvitek.com.ru/upload/iblock/667/6675fa6579d469942d02e2f65a2d75d5.jpeg;"Комплект постельного белья ""Экзотика"", 100 % хлопок - БЯЗЬ импортная"
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-семья-Афина;"Семейное (2 пододеяльника)";;;"70х70 (2шт.)";143х215-2шт.;215х240;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000925534350;;;;;"Тональность изделия может отличаться от фото";;;;;;"Афина КПБ Семья (5) ""Экзотика"" Поплин";1;1450;2030;http://alvitek.com.ru/upload/iblock/60e/60eafb17a2d718926e3bbe4b265c580e.jpeg;
